Id,Label,timeset,d1,d2
4332,4332,,-3.818602,-38.606666
2162,2162,,-3.745551,-38.50218
1171,1171,,-3.83746,-38.558568
4979,4979,,-3.733739,-38.520246
2508,2508,,-3.752589,-38.513091
5715,5715,,-3.795261,-38.563365
5808,5808,,-3.782984,-38.625998
1638,1638,,-3.775282,-38.565058
834,834,,-3.816951,-38.600598
2064,2064,,-3.740409,-38.538513
3331,3331,,-3.773439,-38.481603
794,794,,-3.719945,-38.587394
1129,1129,,-3.83129,-38.48756
6083,6083,,-3.775898,-38.563564
301,301,,-3.787658,-38.54758
1154,1154,,-3.831474,-38.475423
3707,3707,,-3.830124,-38.507223
2855,2855,,-3.76147,-38.533603
2082,2082,,-3.742229,-38.536083
6079,6079,,-3.738538,-38.48475
2151,2151,,-3.738083,-38.499494
3346,3346,,-3.785189,-38.512219
2161,2161,,-3.743553,-38.502424
1657,1657,,-3.777734,-38.561605
PG,PG,,-3.776106,-38.563565
1027,1027,,-3.725004,-38.53076
273,273,,-3.712304,-38.553039
1203,1203,,-3.831613,-38.495075
2076,2076,,-3.742587,-38.537311
3812,3812,,-3.850561,-38.513408
5554,5554,,-3.738787,-38.569209
2787,2787,,-3.758611,-38.566332
LG,LG,,-3.771688,-38.570013
2605,2605,,-3.791133,-38.537924
3706,3706,,-3.830179,-38.507632
4041,4041,,-3.711512,-38.596969
261,261,,-3.714041,-38.567417
5122,5122,,-3.739349,-38.539663
2509,2509,,-3.750875,-38.511946
5348,5348,,-3.731991,-38.526568
3310,3310,,-3.764606,-38.518116
2130,2130,,-3.739601,-38.508372
2055,2055,,-3.738973,-38.541526
2847,2847,,-3.756878,-38.534301
337,337,,-3.789752,-38.541872
4071,4071,,-3.803006,-38.529235
5195,5195,,-3.767711,-38.552861
3303,3303,,-3.763695,-38.48255
1778,1778,,-3.731363,-38.505688
215,215,,-3.788013,-38.566883
1223,1223,,-3.725342,-38.520227
6145,6145,,-3.755244,-38.598029
950,950,,-3.726036,-38.558847
3330,3330,,-3.770651,-38.481859
4869,4869,,-3.821099,-38.524321
MJ,MJ,,-3.831225,-38.501589
6273,6273,,-3.73601,-38.566301
2062,2062,,-3.740685,-38.538766
3280,3280,,-3.759434,-38.523837
2415,2415,,-3.752225,-38.539204
1140,1140,,-3.833562,-38.484194
1712,1712,,-3.732239,-38.52572
4846,4846,,-3.753481,-38.520855
2054,2054,,-3.739721,-38.540458
2074,2074,,-3.74367,-38.536799
685,685,,-3.823845,-38.561372
174,174,,-3.784865,-38.581396
3318,3318,,-3.765034,-38.514371
2112,2112,,-3.73772,-38.524343
250,250,,-3.71142,-38.558279
2979,2979,,-3.768539,-38.533971
AB,AB,,-3.737488,-38.584713
1742,1742,,-3.729826,-38.521488
3525,3525,,-3.80227,-38.507747
466,466,,-3.793336,-38.568856
5598,5598,,-3.757416,-38.489335
3465,3465,,-3.786325,-38.627214
1371,1371,,-3.767858,-38.60339
1061,1061,,-3.776051,-38.611442
3135,3135,,-3.808529,-38.526083
5967,5967,,-3.837565,-38.558099
3216,3216,,-3.777747,-38.514732
1758,1758,,-3.735465,-38.522155
2848,2848,,-3.755973,-38.533872
2860,2860,,-3.762129,-38.531449
929,929,,-3.721381,-38.564627
4722,4722,,-3.73256,-38.526911
4234,4234,,-3.791524,-38.578123
3495,3495,,-3.722869,-38.530045
4124,4124,,-3.729409,-38.489252
1979,1979,,-3.738274,-38.58036
4946,4946,,-3.832406,-38.460677
5561,5561,,-3.827254,-38.469308
2570,2570,,-3.752653,-38.471667
985,985,,-3.721272,-38.536142
4500,4500,,-3.772615,-38.553151
287,287,,-3.783288,-38.554457
5567,5567,,-3.738355,-38.525106
2432,2432,,-3.74581,-38.525139
1655,1655,,-3.779201,-38.560904
2901,2901,,-3.771552,-38.561529
2255,2255,,-3.750242,-38.596538
1407,1407,,-3.77355,-38.600765
670,670,,-3.821428,-38.557671
2966,2966,,-3.798529,-38.503262
3304,3304,,-3.762881,-38.483017
1382,1382,,-3.765817,-38.598572
6094,6094,,-3.7707,-38.570219
5058,5058,,-3.808958,-38.605842
1564,1564,,-3.781399,-38.580292
5069,5069,,-3.846667,-38.50589
6096,6096,,-3.737084,-38.584195
6264,6264,,-3.731951,-38.546768
2414,2414,,-3.752843,-38.538325
2251,2251,,-3.753556,-38.597024
2046,2046,,-3.738322,-38.549399
2919,2919,,-3.769132,-38.550771
2839,2839,,-3.76352,-38.540649
5753,5753,,-3.856884,-38.484391
3941,3941,,-3.724743,-38.537222
5297,5297,,-3.722454,-38.533149
3074,3074,,-3.800235,-38.54826
2899,2899,,-3.769617,-38.560714
5399,5399,,-3.796483,-38.540071
272,272,,-3.71248,-38.553028
1013,1013,,-3.723679,-38.533512
4775,4775,,-3.722519,-38.564201
2063,2063,,-3.740531,-38.538614
4142,4142,,-3.720013,-38.606677
3329,3329,,-3.768562,-38.482465
4620,4620,,-3.82263,-38.593155
1694,1694,,-3.73134,-38.531657
3644,3644,,-3.818151,-38.450546
5568,5568,,-3.741514,-38.538657
259,259,,-3.714982,-38.564667
1745,1745,,-3.727811,-38.521014
2878,2878,,-3.767795,-38.572135
294,294,,-3.786483,-38.549772
563,563,,-3.803543,-38.586709
5837,5837,,-3.817382,-38.58866
2052,2052,,-3.737526,-38.545636
4188,4188,,-3.773132,-38.482136
6173,6173,,-3.763453,-38.529682
1637,1637,,-3.775129,-38.565992
182,182,,-3.782296,-38.577249
4228,4228,,-3.798038,-38.58497
5296,5296,,-3.722816,-38.533259
5293,5293,,-3.727351,-38.533204
1135,1135,,-3.827688,-38.482993
6208,6208,,-3.758834,-38.484529
803,803,,-3.72484,-38.58607
6082,6082,,-3.737362,-38.58426
2912,2912,,-3.767769,-38.551246
917,917,,-3.833781,-38.560732
1760,1760,,-3.735117,-38.520856
3168,3168,,-3.805466,-38.479016
1101,1101,,-3.795359,-38.479857
3211,3211,,-3.773498,-38.531454
4035,4035,,-3.754612,-38.601545
2879,2879,,-3.767757,-38.572045
3691,3691,,-3.8339,-38.521671
4277,4277,,-3.835717,-38.591754
2072,2072,,-3.741536,-38.541558
5951,5951,,-3.809035,-38.626959
4250,4250,,-3.721117,-38.545937
1617,1617,,-3.777153,-38.576467
5094,5094,,-3.781515,-38.588392
4650,4650,,-3.745985,-38.584746
2069,2069,,-3.744035,-38.541848
2519,2519,,-3.751536,-38.503915
5059,5059,,-3.810957,-38.426205
4672,4672,,-3.733296,-38.584511
6271,6271,,-3.735168,-38.562278
5752,5752,,-3.857829,-38.490764
2544,2544,,-3.751402,-38.501606
2838,2838,,-3.763377,-38.540794
1514,1514,,-3.733423,-38.568773
1844,1844,,-3.733187,-38.481471
5809,5809,,-3.831496,-38.501886
3038,3038,,-3.800153,-38.567727
6253,6253,,-3.743644,-38.53996
5277,5277,,-3.729417,-38.532863
5815,5815,,-3.770642,-38.570312
5648,5648,,-3.779532,-38.619159
4458,4458,,-3.774736,-38.602952
4279,4279,,-3.834144,-38.592742
3987,3987,,-3.809301,-38.630338
3687,3687,,-3.82846,-38.518885
1488,1488,,-3.8252,-38.494063
2625,2625,,-3.797455,-38.500318
1709,1709,,-3.732093,-38.526159
18,18,,-3.706945,-38.590789
1449,1449,,-3.73218,-38.593778
5459,5459,,-3.712475,-38.601514
5755,5755,,-3.722668,-38.592728
2000,2000,,-3.738095,-38.569311
2026,2026,,-3.741507,-38.561669
6122,6122,,-3.734299,-38.56761
4460,4460,,-3.769176,-38.588568
2998,2998,,-3.764737,-38.512502
2955,2955,,-3.77063,-38.538506
293,293,,-3.785869,-38.551528
1691,1691,,-3.731755,-38.534535
6265,6265,,-3.732583,-38.549465
6206,6206,,-3.733976,-38.49488
4595,4595,,-3.819641,-38.557674
805,805,,-3.726762,-38.585587
1993,1993,,-3.73741,-38.577221
193,193,,-3.788154,-38.576395
2896,2896,,-3.766098,-38.559262
44,44,,-3.70491,-38.577454
1978,1978,,-3.738187,-38.58302
655,655,,-3.820517,-38.566208
2444,2444,,-3.750756,-38.527799
1999,1999,,-3.739178,-38.568896
2480,2480,,-3.753228,-38.518783
2930,2930,,-3.770298,-38.556392
2521,2521,,-3.746455,-38.501704
2821,2821,,-3.763458,-38.54753
2361,2361,,-3.748094,-38.554262
2213,2213,,-3.740299,-38.476546
1781,1781,,-3.733419,-38.507147
1353,1353,,-3.767815,-38.608983
2061,2061,,-3.739257,-38.539322
3405,3405,,-3.809471,-38.521383
2747,2747,,-3.758094,-38.578359
5017,5017,,-3.763485,-38.486182
2831,2831,,-3.759075,-38.539301
3573,3573,,-3.825203,-38.541008
1425,1425,,-3.778617,-38.598685
2894,2894,,-3.766321,-38.561885
3753,3753,,-3.844654,-38.52179
1208,1208,,-3.834928,-38.495172
338,338,,-3.788587,-38.545186
1755,1755,,-3.735719,-38.523392
5196,5196,,-3.772328,-38.511973
2877,2877,,-3.767595,-38.573327
327,327,,-3.788988,-38.537162
3425,3425,,-3.809491,-38.500515
1717,1717,,-3.735955,-38.534446
241,241,,-3.715304,-38.571406
2299,2299,,-3.751341,-38.578248
2420,2420,,-3.748551,-38.530121
1157,1157,,-3.834653,-38.477877
2078,2078,,-3.741304,-38.538895
3128,3128,,-3.802687,-38.529031
2547,2547,,-3.748933,-38.490942
1601,1601,,-3.733366,-38.541519
3277,3277,,-3.761499,-38.519744
1785,1785,,-3.733895,-38.506311
1502,1502,,-3.731135,-38.578433
2863,2863,,-3.760634,-38.527665
1807,1807,,-3.733988,-38.497791
3045,3045,,-3.80026,-38.563836
2075,2075,,-3.743884,-38.535812
4976,4976,,-3.733948,-38.526236
3723,3723,,-3.825005,-38.46112
5075,5075,,-3.808479,-38.461754
5401,5401,,-3.761215,-38.557129
2449,2449,,-3.752177,-38.526107
2737,2737,,-3.763436,-38.57998
4096,4096,,-3.744679,-38.510001
945,945,,-3.726882,-38.562977
971,971,,-3.724884,-38.552607
2153,2153,,-3.740308,-38.498978
1493,1493,,-3.734934,-38.584329
2435,2435,,-3.750791,-38.532431
5288,5288,,-3.728728,-38.533623
4932,4932,,-3.77701,-38.500925
5141,5141,,-3.773898,-38.496493
4127,4127,,-3.729926,-38.483206
1839,1839,,-3.736744,-38.482629
3152,3152,,-3.806623,-38.517978
2473,2473,,-3.754272,-38.523333
5482,5482,,-3.782534,-38.581275
604,604,,-3.817903,-38.565407
1824,1824,,-3.731385,-38.482296
2686,2686,,-3.755237,-38.597259
